"SourceIP","DestinationIP","Port"
"10.1.0.4","10.0.0.4","445"
"10.1.0.4","52.227.72.32","443"
"10.1.0.4","168.63.129.16","32526"
"10.1.0.4","52.173.24.17","443"
"10.1.0.4","168.63.129.16","80"
"10.0.0.4","10.1.0.4","49674"
"10.0.0.4","10.1.0.4","5985"
"10.0.0.4","10.1.0.4","389"
