"SourceIP","DestinationIP","Port"
"10.0.0.4","52.227.72.32","443"
"10.0.0.4","10.1.0.4","389"
"10.0.0.4","10.2.0.4","3389"
"10.1.0.4","10.0.0.4","52751"
"10.0.0.4","52.165.170.112","443"
"10.0.0.4","168.63.129.16","32526"
"10.0.0.4","168.63.129.16","80"
"10.0.0.4","13.89.220.65","443"
"73.39.189.75","10.0.0.4","3389"
"185.234.217.127","10.0.0.4","3389"
"10.2.0.4","10.0.0.4","445"
"39.104.202.207","10.0.0.4","3389"
"39.107.65.229","10.0.0.4","3389"
